Graffiti_Research_Lab	['20160601', '20160602', '20160603', '20160604', '20160605']	[15, 14, 19, 18, 13]	79	21
Sofitel_Legend_Metropole_Hanoi	['20160601', '20160602', '20160603', '20160604', '20160605']	[15, 16, 14, 15, 18]	78	16
David_Griffiths_(physicist)	['20160601', '20160602', '20160603', '20160604', '20160605']	[10, 13, 21, 14, 19]	77	31
For-Profit_Online_University	['20160601', '20160602', '20160603', '20160604', '20160605']	[14, 16, 11, 24, 12]	77	17
Jim_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[15, 13, 20, 11, 18]	77	21
Ali_Müfit_Gürtuna	['20160601', '20160602', '20160603', '20160604', '20160605']	[20, 20, 21, 10, 5]	76	-4
Graffiti_in_Toronto	['20160601', '20160602', '20160603', '20160604', '20160605']	[16, 11, 19, 19, 11]	76	22
International_P.E.A.C.E._Benefit_Compilation	['20160601', '20160602', '20160603', '20160604', '20160605']	[26, 11, 8, 18, 12]	75	1
Sandi_Griffiths	['20160601', '20160602', '20160603', '20160604', '20160605']	[18, 16, 4, 8, 29]	75	7
Johnny_Griffith_(musician)	['20160601', '20160602', '20160603', '20160604', '20160605']	[14, 15, 11, 17, 17]	74	16
Quick_connect_fitting	['20160601', '20160602', '20160603', '20160604', '20160605']	[14, 11, 22, 14, 13]	74	24
Virtual_graffiti	['20160601', '20160602', '20160603', '20160604', '20160605']	[16, 15, 22, 11, 10]	74	12
Catherine_Malfitano	['20160601', '20160602', '20160603', '20160604', '20160605']	[16, 11, 22, 17, 7]	73	19
Proffitt's	['20160601', '20160602', '20160603', '20160604', '20160605']	[24, 10, 23, 9, 7]	73	5
AED_(non-profit)	['20160601', '20160602', '20160603', '20160604', '20160605']	[15, 31, 14, 7, 5]	72	-20
Green_retrofit	['20160601', '20160602', '20160603', '20160604', '20160605']	[16, 17, 18, 13, 8]	72	6
Griffith_Airport	['20160601', '20160602', '20160603', '20160604', '20160605']	[21, 11, 16, 12, 11]	71	7
Nonprofit_organizations	['20160601', '20160602', '20160603', '20160604', '20160605']	[12, 18, 18, 8, 15]	71	11
Push-to-pull_compression_fittings	['20160601', '20160602', '20160603', '20160604', '20160605']	[19, 18, 17, 8, 9]	71	-3
Eternity_(graffito)	['20160601', '20160602', '20160603', '20160604', '20160605']	[9, 8, 16, 20, 17]	70	36
Graffiti_terminology	['20160601', '20160602', '20160603', '20160604', '20160605']	[22, 16, 6, 11, 15]	70	-6
Perversion_for_Profit	['20160601', '20160602', '20160603', '20160604', '20160605']	[17, 11, 12, 14, 16]	70	14
Graffito	['20160601', '20160602', '20160603', '20160604', '20160605']	[21, 16, 13, 8, 11]	69	-5
Thomas_Griffiths_Wainewright	['20160601', '20160602', '20160603', '20160604', '20160605']	[20, 10, 13, 16, 10]	69	9
Cutting_ring_fitting	['20160601', '20160602', '20160603', '20160604', '20160605']	[18, 20, 11, 14, 5]	68	-8
Fringe_benefits_tax	['20160601', '20160602', '20160603', '20160604', '20160605']	[13, 16, 21, 12, 6]	68	10
Jean_Lafitte,_Louisiana	['20160601', '20160602', '20160603', '20160604', '20160605']	[14, 15, 7, 9, 23]	68	10
